Stop Name,Time,Lat,Lon,W3W
"Bus Stop, Windmill Village Hotel, A45, Coventry",17:15:00,52.428027,-1.579065,///noting.gears.string
"Bus Stop, Village Hotel, Tile Hill Ln, Coventry",17:30:00,52.403663,-1.547389,///juices.moves.silent
"Ramada Hotel, Butts, Coventry",17:40:00,52.404902,-1.52154,///drive.copy.tiger
"Bus Stop, Hotel Indigo, Coventry",17:45:00,52.402585,-1.514559,///healers.pulled.opera
"Bus Stop, ibis Coventry Centre, Mile Ln, Coventry",17:55:00,52.403178,-1.507578,///empire.accent.pest
"Entrance Coundon Lodge, Coundon Green, Coventry",0.756944444,52.432986,-1.54045,///glaze.stamp.impose
"Bus Stop (Entrance Royal Court Hotel), Tamworth Rd, Coventry",18:15:00,52.44382,-1.541512,///stars.focus.stuck
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
