Stop Name,Time,Lat,Lon,W3W
"Bus Stop (Opp Cemetery Ln), College St, Higham Ferrers",16:00:00,52.308956,-0.593011,///behaving.bitter.unique
"The Stables, Station Rd, Whitemills Marina",0.680555556,52.247561,-0.742226,///easy.investor.spinners
"Bus Stop (Opp Northampton Academy), Wellingborough Rd, Billing",0.684027778,52.256724,-0.829567,///season.zealous.alarm
"Bus Stop (Opp Fir Tree Walk), Wellingborough Rd",0.686111111,52.253409,-0.839081,///cure.punchy.spice
"Bus Stop (Trumpet PH), Wellingborough Rd, Weston Favell",0.6875,52.2519,-0.848639,///cared.works.taken
"Bus Stop (Dulverton Rd), Bridgewater Dr, Weston Favell",0.690972222,52.244785,-0.84604,///clap.ruled.shack
"Bus Stop (Landcross Dr), Billing Road East",0.694444444,52.240365,-0.856347,///beam.salads.slate
"Bus Stop (Opp Abington PH), Wellingborough Rd",0.697916667,52.245513,-0.870353,///dawn.risk.jumpy
"Bus Stop (Subway), Wellingborough Rd",0.701388889,52.241874,-0.877312,///rotate.cable.shave
"Bus Stop (Opp War Memorial), Wellingborough Rd",0.704861111,52.240203,-0.887311,///verbs.thinks.damp
"Bus Stop (Opp Fire Station), Mounts",0.708333333,52.239583,-0.895591,///loaded.spell.deep
"Bus Stop (Opp Pomfret Arm PH), Cotton End, Delapre",0.715277778,52.230123,-0.896252,///refuse.joined.metro
"Bus Stop (Opp Betfred), St Leonards Rd",0.71875,52.227806,-0.901273,///rate.shins.suffice
"Bus Stop (Opp Iceland), Harlestone Rd, St James",0.725694444,52.2405,-0.915455,///part.legs.little
"Bus Stop (Harlestone Cl), Harlestone Rd, Dallington",0.729166667,52.246618,-0.922855,///serves.monkey.handy
"Bus Stop, Weedon Rd, Sixfields",0.736111111,52.237077,-0.939284,///supper.bugs.hints
