Stop Name,Time,Lat,Lon,W3W
"Bus Stop (Train Station), Station Rd, Long Buckby",17:00:00,52.295076,-1.08728,///octagon.towels.year
"Bus Stop (The Pigeon PH), Market Place, Long Buckby",17:05:00,52.302919,-1.080754,///fabricate.sampling.northward
"Jct Nursery Close, Northampton Rd, West Haddon",17:15:00,52.33871,-1.068613,///firmer.tedious.brimmed
"Bus Stop (Opp Crown Inn PH), High St, West Haddon",17:10:00,52.340785,-1.075102,///cheaper.return.unrated
"Bus Stop, Emery Row, Kilsby",17:20:00,52.333724,-1.175075,///suffer.unicorns.composed
"Bus Stop, Crick Rd, Hillmorton",17:25:00,52.357145,-1.20734,///circus.handyman.alarmed
"Bus Stop (Palmers Cl), Lower St, Hillmorton",17:30:00,52.361349,-1.213387,///wage.shave.petal
"Bus Stop (Opp Balfour Pl), Hillmorton Rd, Rugby",17:35:00,52.363963,-1.240003,///hours.uses.bronze
"Premier, Lower Hillmorton Rd, Rugby",17:40:00,52.369354,-1.246314,///ranged.mount.pitch
"Bus Stop (Opp Houston Rd), Boughton Rd, Rugby",17:50:00,52.385417,-1.24958,///text.headed.themes
"Bus Stop (Lidl), Brandon Rd, Binley",18:15:00,52.396925,-1.437147,///search.voted.locker
"Bus Stop (Opp Benthall Rd), Foleshill Rd, Coventry",18:25:00,52.441421,-1.490601,///deep.moment.dating

