Stop Name,Time,Lat,Lon,W3W
"Bus Stop, Buckingham Rd, Gawcott",16:10:00,51.98139,-1.0079,///magnetic.claim.innovate
"Bus Stop (Sainsburys Local), London Road, Buckingham",0.680555556,51.996941,-0.985272,///ozone.helpers.ownership
"Bus Stop (Old Chapel), Careys Rd, Pury End",0.697916667,52.104638,-0.966171,///cashiers.qualified.keener
"Bus Stop (Wetherby Dr), Redcar Rd, Towcester",0.701388889,52.120189,-0.974117,///blanks.donation.something
"Bus Stop (Oat Hill Rd), Highfields, Towcester",0.704861111,52.121941,-0.988123,///scores.havens.skid
"Bus Stop (Hambleside Danelaw), Long March , Daventry",0.71875,52.250283,-1.154532,///slung.intervals.stuns
"Jct Buttercup Dr, Yeomanry Way, Daventry",0.722222222,52.254137,-1.170917,///worker.juggled.adjuster
"Bus Stop, Speke Drive, Davetry",0.729166667,52.27206,-1.161579,///nozzles.alas.essays
"Bus Stop, Marston Way, Daventry",0.732638889,52.275887,-1.156823,///monday.qualifier.super
"Bus Stop, A5, Willoughby",0.739583333,52.302838,-1.234766,///mash.gender.developed
