Stop Name,Time,Lat,Lon,W3W
"Bus Stop, Avebury Blvd/Taymouth Pl, MK",17:00:00,52.046424,-0.73818,///expansion.chef.name
"Bus Stop (W4), Midsummer Blvd, MK",17:10:00,52.037152,-0.767153,///fails.workforce.exclusive
"Bus Stop, Evans Gate, Oldbrook",17:20:00,52.033002,-0.758697,///officials.derailed.verdict
"Bus Stop, V6 Grafton St, Coffee Hall",17:25:00,52.020577,-0.750942,///niece.clef.swanky
"Bus Stop, V7 Saxon St, Ashland",17:30:00,52.014621,-0.731664,///ruby.apply.manage
"Bus Stop, Queensway, Fenny Stratford",17:35:00,51.996159,-0.721923,///basin.switch.regard
"Bus Stop, V2 Tattenhoe St, Oakhill",17:45:00,52.015645,-0.806804,///clothed.cluttered.lectures
"Outside Tesco Express, Apollo Ave, Fairfields",17:50:00,52.046585,-0.837346,///invented.album.appraised
"Bus Stop, Wolverton Rd/Woodside, Stoney Stratford",17:55:00,52.058228,-0.845066,///juicy.boating.hillside
"Junction Blackhorse Dr/Towcester Rd, Stoney Stratford",18:00:00,52.065047,-0.868268,///flooding.boxing.marine
"Bus Stop, Redcar Rd/Wetherby Dr, Towcester",18:12:00,52.120189,-0.974161,///homelands.redouble.fenced
"Bus Stop, Burcote Rd, Towcester",18:15:00,52.123531,-0.985928,///soda.plugs.extreme
"Bus Stop, Vernon Rd, Towcester",Drop-Off Only,52.128598,-0.984595,///invoices.skips.sedated
"Bus Stop, Watling St, Towcester",18:17:00,52.132452,-0.989254,///crisp.latches.loopholes
"Senna Dr, Towcester",18:20:00,52.141346,-0.984858,///pavement.reward.jetliner
