Stop Name,Time,Lat,Lon,W3W
"All Saints Church, Main St, Sudborough",16:15:00,52.42862,-0.578048,///parting.twists.group
"Bus Stop (Hillcrest Cl), Oundle Rd, Thrapston",16:25:00,52.399809,-0.527903,///scribble.scales.eggs
"Bus Stop (Opp Mecidal Centre), Higham Rd, Burton Latimer",16:40:00,52.358897,-0.675428,///tango.mull.sweep
"Bus Stop (School Rd), Loddington Way, Mawsley",16:55:00,52.37372,-0.816759,///wharfs.maple.tweezers
"Bus Stop (Westhill Dr), Northampton Rd, Kettering",17:05:00,52.394634,-0.741008,///image.moved.chip
"Bus Stop, Horse Market, Kettering",17:10:00,52.399,-0.72603,///model.banks.trips
"Bus Stop (Masefield Rd), Bath Rd, Kettering",17:20:00,52.412179,-0.718872,///trip.fuels.wells
"Bus Stop (The Briars), Branbleside, Kettering",17:25:00,52.41668,-0.719723,///domestic.cadet.relief
"Bus Stop, Rockingham Rd, Kettering",17:30:00,52.415926,-0.729874,///barks.simply.life
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
