Stop Name,Time,Lat,Lon,W3W
"Bus Stop at Junction Bloxham Rd/Browning Rd, Banbury",17:25:00,52.0492,-1.351075,///butter.mugs.vast
"Bus Stop, Croughton Rd, Aynho",17:45:00,51.995054,-1.250941,///shortcuts.tramps.airless
"Bus Stop, Oxford Rd, Brackley",17:58:00,52.023677,-1.150127,///pave.slug.behave
"Bus Stop, High St, Brackley",18:00:00,52.030657,-1.145746,///fewer.pedicure.lush
"Bus Stop, High Street, Brackley",Drop-Off Only,52.034646,-1.142241,///subject.emphasis.situates
"Bus Stop, Radstone Rd, Brackley",Drop-Off Only,52.039389,-1.143467,///removers.chew.snatched
"Bus Stop, Oak Rd, Brackley",Drop-Off Only,52.040333,-1.147192,///hurricane.body.only
"Bus Stop (Bracken Leas School), Pavillions Way, Brackley",18:05:00,52.037045,-1.152493,///liberated.translated.resemble
"Play Area, Humphries Dr, Brackley",18:09:00,52.041491,-1.155297,///credited.podcast.thudding
"Bus Stop (Poppyfields Park), Poppyfields Way, Brackley",18:11:00,52.04478,-1.150154,///videos.coconuts.morphing
"Bus Stop (Brackley Little Forest), Poppyfields Way, Brackley",18:13:00,52.042731,-1.141732,///written.incur.passes
"Bus Stop, Northampton Rd, Brackley",18:15:00,52.040279,-1.13948,///special.eggplants.anthems
