Stop Name,Time,Lat,Lon,W3W
"Bus Stop (Farrington Cl), Dovehouse Dr, Wellesbourne",16:50:00,52.188053,-1.601131,///model.drilled.shifters
"Bus Stop, Mallory Road, Bishop's Tachbrook",17:05:00,52.248504,-1.547503,///divide.push.catapult
"Bus Stop, (White Lion PH), Radford Semele",17:20:00,52.27807,-1.4976,///enacts.composts.finders
"Bus Stop, (Tesco Express), Narrow Hall Mdw, Warwick",17:35:00,52.268987,-1.608021,///super.shells.codes
"Bus Stop (Opp Northgate Church), N Rock, Warwick",17:45:00,52.28373,-1.589786,///foster.jazz.herbs
"Bus Stop (Quarry St), Rugby Rd, Warwick",17:50:00,52.290494,-1.555519,///hung.rear.rods
"Bus Stop (Opp Stoneleigh Cl), Birmingham Rd, Stoneleigh",18:05:00,52.352267,-1.518075,///rider.nest.loudly
,,,,
,,,,
,,,,
