Stop Name,Time,Lat,Lon,W3W
"Bus Stop, Queens Rd, Marlow",15:30:00,51.574938,-0.780719,///advantage.teacher.tips
"Bus Stop, Anniversary Ave W, Bicester",16:30:00,51.8845,-1.143846,///mount.oppose.hunt
"Bus Stop (Bicester Village Station), London Rd, Bicester",16:35:00,51.892774,-1.147995,///global.visa.pace
"Bus Stop (Clifton Close), Launton Rd, Bicester",16:40:00,51.899755,-1.140963,///narrow.reply.expose
"Bus Stop (Lyneham Rd), Boston Rd, Bicester",16:45:00,51.906331,-1.134368,///slave.early.stress
"Bus Stop (Rowan Rd), Banbury Rd, Bicester",0.701388889,51.904283,-1.154503,///into.priced.gifted
"Bus Stop (Lodge Cl), Banbury Rd, Bicester",16:55:00,51.914524,-1.155726,///town.decreased.burns
"Bus Stop, Kingsley Rd, Bicester",17:00:00,51.908864,-1.168479,///piano.marathons.pint
"Bus Stop(Greenwood Dr), Shakespeare Dr, Bicester",17:05:00,51.903124,-1.172148,///cards.importing.report
"Bus Stop (Opp Alchester Play Park), Ludlow Rd, Bicester",17:10:00,51.897437,-1.179136,///leans.aviators.downturn
"Bus Stop (Kingsmere Co-op), Whitelands Way, Bicester",17:15:00,51.893502,-1.169658,///reporters.stared.expecting
