Stop Name,Time,Lat,Lon,W3W
"Bus Stop (Opp Horseshoe PH), Sywell",16:25:00,52.297286,-0.799493,///showcases.surviving.beaks
"Bus Stop (Opp Drury Way), Stratford Dr, Overstone",16:30:00,52.293513,-0.830225,///carpentry.balancing.doormat
"Bus Stop (Opp Sandy Hill Ln), Overstone Rd, Moulton",16:35:00,52.288877,-0.841944,///powder.chart.jump
"Bus Stop (Russell Sq), Manning Rd, Moulton",16:45:00,52.275725,-0.856215,///debit.river.bunch
"Bus Stop (Ryelands Rd), Northampton Lane N, Moulton",16:50:00,52.282759,-0.855158,///sock.backup.plus
"Bus Stop (Eynon Cl), Boughton Rd, Moulton",16:55:00,52.289147,-0.860663,///patio.vows.excuse
"Opp Boughton Primary School, Boughton",17:00:00,52.284808,-0.893433,///album.swan.fears
"Bus Stop (Library), Spratton Rd, Brixworth",17:15:00,52.328172,-0.904696,///united.beats.stands
"Cross Hill (All Saints Church), Church St, Birxworth",17:20:00,52.333023,-0.905534,///pokers.sculpture.warns
"Opp BT Exchange, Holcot Rd, Brixworth",17:25:00,52.329331,-0.899802,///pills.legal.flying
"Jct Morgan Dr, Mercedes Dr, Brixworth",17:30:00,52.33491,-0.893693,///falls.overlaid.empty
